date,text,"Status (Rescheduled, Postponed, Cancelled)",Artist/Festival Name,Genre,US (yes/no),Refund? ,Press Release Link?,Popularity??
1-Jul,"Austin City Limits has been canceled.Â Festival organizers said in a statement that scrapping the three-day October event was â€œthe only responsible solution.â€ The announcement comes amid a surge in COVID-19 cases in Texas, with the state reporting another daily high Tuesday of 7,000 new confirmed cases and Republican Gov. Greg Abbott urging people to stay home.Â See the full statement here.",C,Austin City Limits,Festival,Yes,,,
26-Jun,Lady Gaga has announced that the Chromatica Ball is no longer taking place in Summer 2020. See the new dates here.,R,Lady Gaga,Pop,Yes,,,
21-Jun,"Imagine DragonsÂ have postponed their performance at Kultureball 2020. ""Due to current times, KultureCity and Imagine dragons have decided to postpone our performance at Kultureball to Kultureball 2021 on March 20th, 2021,"" the band tweeted. ""Location to be announced soon. Thanks to all our supporters. We look forward to seeing you all soon.""",P,Imagine Dragons,Rock,Yes,,,
20-Jun,"Hollywood Vampires have postponed their European tourÂ ""due to the COVID-19 pandemic."" The supergroup wrote, ""We will post detailed ticketing information and new replacement dates very soon! We are beyond disappointed but will see you all once we are able to safely rock again!""",P,Hollywood Vampires,Rock,No,,,
18-Jun,"Charlie Daniels' 2020 Volunteer Jam has moved from Sept. 15 at Nashville's Bridgestone Arena to Feb. 22, 2021. Â The event will includeÂ The Marshall TuckerÂ Band, Chris Janson, Charley Pride,Â Larry, Steve & Rudy- The Gatlin Brothers, Big & Rich, Gretchen Wilson,Â Cowboy Troy, Delbert McClinton,Â Keb' Mo',Â The Outlaws, Jenny Tolman, the Atlanta Rhythm Section, Travis Denning,Â Mickey Gilley, Johnny Lee,Â Scooter Brown Band, The SteelDrivers,Â Pure Prairie League, The Allman Betts Band and .38 Special among others. Â ""Volunteer Jam is alive and well and is moving from September 2020 to February Â 2021,"" says Daniels. ""The Jam turns 46 years old this year and this could be the best one yet.""",R,Charlie Daniels' 2020 Volunteer Jam,Festival,Yes,,,
9-Jun,"Nick Cave and the Bad Seeds have canceled their North American tour due to the pandemic, and hope to reschedule for 2021. Details will be announced in the fall.",C,Nick Cave and the Bad Seeds,Rock,Yes,,,
9-Jun,"Lollapalooza 2020 is officially off after the city of Chicago nixed all large, permitted gatherings through Labor Day. ""Rest assured, we will be working hard behind the scenes to deliver Chicago a spectacular celebration of Lollapalooza's 30th anniversary in the summer of 2021, and we can't wait to celebrate with you,"" the festival said in a statement. Instead of a live music festival, there will be a virtual livestream event the weekend of July 30:Aug. 2, with the full schedule to come.",C,Lollapalooza,Festival,Yes,,,
8-Jun,"The Smashing Pumpkins have canceled their Rock Invasion 2 Tour. ""It is with heavy hearts that we must announce The Smashing Pumpkins Rock Invasion 2 tour will no longer be taking place,"" the band said in a statement. ""Though this decision did not come easily, it is our top priority to maintain the safety and health of our fans, crew, and venue staff. Tickets will automatically be refunded at point of purchase. Thank you for understanding.""",C,The Smashing Pumpkins,Rock,Yes,,,
4-Jun,"Austin's Levitation music festival has been canceled. ""The Covid-19 crisis has made it impossible to deliver the lineup and experience that we had planned for 2020. More than anything we wanted to find a way through this and have another weekend of great shows with you- but we'll have to wait until 2021 for that,"" organizers said in a release. ""All ticket purchases have been refunded, and should process in the next 7-10 business days. Look out for dates and details for LEVITATION 2021. Thank you for your support, we look forward to seeing you then!""",C,Levitation music festival,Festival,Yes,,,
4-Jun,"Summerfest 2020 has been canceled.Â Don Smiley, president & CEO of Milwaukee World Festival, Inc., said in a statement: ""After careful, diligent, and thoughtful consideration and out of an abundance of caution for the health and safety of our community: including artists, fans, vendors, participants and staff: Summerfest presented by American Family Insurance will not take place in September 2020, as previously announced."" Get refund info here.",C,Summerfest 2020,Festival,Yes,,,
1-Jun,"Motley Crue, Def Leppard, Poison and Joan Jett announced that their summer stadium tour of North America is postponed until next summer, with rescheduled dates to come. Tickets will be honored at rescheduled shows; refund information is not yet available.",P,"Motley Crue, Def Leppard, Poison and Joan Jett",Rock,Yes,,,
29-May,"The Faith No More and Korn joint tour, which was set to kick off in August,Â has been canceledÂ ""out of an abundance of caution for the safety of our fans, crew, and fellow artists."" Faith No More said that ticketholders will be emailed about refund options.",C,Faith No More and Korn,Rock,Yes,,,
27-May,"Rammstein announced their 2020 North American tour will be rescheduled to 2021. ""Sadly, but in the best interests of everyoneâ€™s health and safety, we have to postpone our North America Tour. We are now working on rescheduling the tour in 2021,"" the group tweeted.",R,Rammstein,Rock,Yes,,,
24-May,Josh Groban postponed his Radio City Music Hall residency shows until 2021. See the new dates here.,P,Josh Groban,Pop,Yes,,,
20-May,"Beck has canceled his 2020 European tour. ""Due to continued restrictions on public gatherings, and in the interest of public safety, the below Beck shows will not be happening as scheduled,"" his official Twitter account shared. ""Weâ€™re working to reschedule as many of these shows as soon as it is safe to do so and will keep you updated along the way. Please refer to point of purchase for ticketing/refund information. Beck is very sorry about this situation and is looking forward to getting back on stage as soon as possible.""",C,Beck,Rock,No,,,
19-May,"James Taylor and Jackson Browne announced their 2020 tour dates are officially moving to 2021. ""We were hoping to reschedule the tour a bit sooner but the experts we consulted have advised waiting for a full year. We thank you all for your patience and understanding and are really encouraged by the majority of you who are holding onto your tickets. We WILL honor them,"" the duo said in a statement.",R,James Taylor and Jackson Browne,Rock,Yes,,,
18-May,"England's Ramblin' Man Fair 2020 has been canceled. The event originally slated to take place at Mote Park in Maidstone, Kent, on July 17-19 with sets from Lynyrd Skynyrd, Hawkwind, Clutch, Rival Sons and more was forced to call this year's gathering off because the UK is not permitting mass gatherings.",C,Ramblin' Man Fair,Festival,No,,,
15-May,"NCT 127 have cancelled their 2020 North American tour. ""NCTzens! Iâ€™m very sad to say that because of the current situation we will be having to cancel the North American tour,"" the band's Johnny tweeted. ""We know that you guys were looking forward to the new tour as much as us. Weâ€™ll make sure to keep you guys smiling one way or another, and make sure that the next time we tour itâ€™ll be the most magical. Thank you guys always, stay safe, stay healthy. We love you.""",C,NCT 127,K-Pop,Yes,,,
14-May,"Kenny Chesney has pushed all the dates on his NFL stadium Chillaxification tour to 2021.Â ""No one has tried harder than my team to make the 2020 Chillaxification Tour a reality,"" Chesney wrote in a note to fans. ""Sadly, we canâ€™t find a way to make it safe to navigate water thatâ€™s just not getting any clearer."" Original tickets will automatically be valid for the rescheduled show dates.",R,Kenny Chesney,Country,Yes,,,
14-May,"Kiss have postponed their 2020 Kiss Kruise. ""The KISS Kruise X will now set sail October 2021 from Port of Miami,"" a statement on the website reads. ""We will notify you of the exact new sailing dates, lineup and updated event information just as soon as we have all the details finalized. We have extended an invitation for all currently booked artists to join us in 2021 and are excited to share our final lineup featuring some returning and new acts for next year. For a full FAQ and details of the new programs and policies, including transfers and beverage package options, please visit: sixthman.net/assurance. As we embark upon rescheduling an entire Summer and Fall season, we greatly appreciate your patience and understanding as we diligently work to provide you with updated event information as quickly as we can.""",P,Kiss,Rock,Yes,,,
14-May,"Andrew Bird and Calexico and Iron & Wine have postponed their Great Summer Stroll Tour. ""In the interest of the health of our fans, band, crew, promoters, and venues, we are postponing the Great Summer Stroll tour to June 2021,"" Iron & Wine wrote on Instagram. See the full statement here.",P,Andrew Bird and Calexico,Rock,Yes,,,
13-May,"New Order and Pet Shop Boys are postponing their Unity Tour of North America. Originally scheduled to kick off in September, the tour will now commence a year later, in September 2021.",P,New Order and Pet Shop Boys,Rock,Yes,,,
13-May,"Iconic British festival Creamfields has postponed this year's event until 2021. The festival was originally slated to take place from Aug. 27:30 and feature sets from Carl Cox, Tiesto, Martin Garrix, Deadmau5, Eric Prydz and more; it is now scheduled for 2021's August Bank Holiday weekend (Aug. 26:29).",P,Creamfields Festival,Festival,No,,,
13-May,"Slipknot's summer tour dates have been canceled. The band announced on Twitter that all North American and U.K. shows, as well as Knotfest at Sea, are no longer happening due to the coronavirus.",C,Slipknot,Rock,Yes,,,
