"","date","text","Status..Rescheduled..Postponed..Cancelled.","Artist.Festival.Name","Genre","US..yes.no.","Refund.","Press.Release.Link.","Popularity..","cancellation_text","url","article_text"
"1","1-Jul","Austin City Limits has been canceled.Â Festival organizers said in a statement that scrapping the three-day October event was â€œthe only responsible solution.â€ The announcement comes amid a surge in COVID-19 cases in Texas, with the state reporting another daily high Tuesday of 7,000 new confirmed cases and Republican Gov. Greg Abbott urging people to stay home.Â See the full statement here.","C","Austin City Limits","Festival","Yes",NA,NA,NA,"Austin City Limits covid cancel refund","https://acl-live.com/updates","While we work to explore a future date to celebrate the wild together, all current ticket-holders will receive a full refund from ACL Live at The Moody Theater.  Refunds will be automatically processed through point of purchase; please allow 7-10 days for funds to return to your account. Tickets will be automatically refunded through point of purchase; please allow up to 30 days for the funds to return to your account. Tickets will be automatically refunded through point of purchase; please allow up to 30 days for the funds to return to your account. The Kesha show with Big Freedia previously scheduled for April 26 at ACL Live has been cancelled. Tickets will be automatically refunded through point of purchase; please allow up to 30 days for the funds to return to your account. The Primus: A Tribute To Kings show with Wolfmother and The Sword originally scheduled for Friday, May 29, 2020 has been rescheduled to Saturday, June 12, 2021.  You can see all of the 2021 dates at http://www.primusville.com/#tour.  All 2020 tickets will be honored for the new dates. If you are a ticket holder and cannot make the new show, you will receive an email directly allowing you to request a refund. For more details, please contact your original point of purchase.  Primus is looking forward to celebrating this incredible Rush album with you in 2021.  Due to the current COVID-19 situation, the Explosions in the Sky show previously scheduled for Saturday, May 30 at ACL Live has been cancelled. Tickets will be automatically refunded through point of purchase; please allow up to 30 days for the funds to return to your account. Patrons not able to attend the new dates are eligible for refunds through their account at Ticketmaster.com. Due to the ongoing COVID-19 pandemic, the Kraftwerk North American tour has been cancelled. Tickets purchased will automatically be refunded from the ticketing company in approximately 30 days. For purchases made in-person at a box office, please contact the venue directly.  Kraftwerk hopes to return to the road when conditions allow in 2021/22, so stay tuned for future updates. Patrons not able to attend the new dates are eligible for refunds through their account at Ticketmaster.com."
"2","26-Jun","Lady Gaga has announced that the Chromatica Ball is no longer taking place in Summer 2020. See the new dates here.","R","Lady Gaga","Pop","Yes",NA,NA,NA,"Lady Gaga covid cancel refund","https://boston.cbslocal.com/2020/05/12/coronavirus-fenway-park-concerts-refund-tickets-red-sox-live-nation/","Now, with strict social distancing guidelines and large events being canceled in the city, people like Ken Healy, who already purchased tickets, are wondering if they can get refunds for shows that may never happen. When he tried to call Live Nation about a refund, he was directed back to the Red Sox, or the MLB Ticket Exchange. Healy says he spent hours on the phone and couldn’t get a straight answer. “Nobody at the Red Sox, Live Nation or MLB would give us a straight answer on how we’re gonna get our money back,” he said. Live Nation tells WBZ that they are offering refunds for concerts that have been rescheduled or canceled, but the Red Sox say only two acts, James Taylor and Dead and Company, have officially canceled or postponed their shows at Fenway. Until the other eight acts make an official announcement, Ken’s refunds appear to be in limbo. He now wonders if Mayor Marty Walsh needs to step in. “Do we need Mayor Walsh to tell Live Nation, ‘hey your concerts are canceled?’’ Live Nation created the Ticket Refund Plan to give fans refund options for shows that have been cancelled or rescheduled. It takes an entire ecosystem to bring live events to life, we appreciate the patience of fans as our teams work through the details of shifting these shows with artists, venues, and communities around the world. For more information visit LiveNation.com/refund.“ IF mlb does get an 82 game schedule together and it will be fanless games then they need to pull the plug on all the concerts as well. If it’s not safe to attend a mlb game then it’s certainly not safe to attend a concert at the same venue. Live Nation, Ticketmaster or whoever needs to get the refunds going now. So now the Maroon 5 website says it was postponed. You will receive an email as soon as the new date is confirmed. Please hold on to your tickets as they will be honored accordingly.Nothing about a refund.Hey Nick Edmonds – make some noise on this! PLEASE I just received the notification for Guns & Roses…no refunds until AFTER they announce the reschedule date.  How can that be possible…could be a year before that happens!?!?!  There has to be a way around this…we shouldn’t have to have our money tied up like that…. I agree. I spent over $700 on 4 Gaga tickets in NJ. I cannot see any way holding the show would be safe. Not a word from our governor about making them cancel so we could get a refund. I checked here to see if things were better in Boston, but it is the same situation. 😠 This is insane!  I will be traveling from Texas for this show.  I have not only concert tickets, but airfare tied up in this mess.  I wish they would just cancel it and offer a refund as a courtesy, not everyone is going to be afforded the luxury of being able to come at a later date.  Cancel the show and get the refunds back to the ticket buyers."
"3","21-Jun","Imagine DragonsÂ have postponed their performance at Kultureball 2020. ""Due to current times, KultureCity and Imagine dragons have decided to postpone our performance at Kultureball to Kultureball 2021 on March 20th, 2021,"" the band tweeted. ""Location to be announced soon. Thanks to all our supporters. We look forward to seeing you all soon.""","P","Imagine Dragons","Rock","Yes",NA,NA,NA,"Imagine Dragons covid cancel refund","https://www.latimes.com/entertainment-arts/music/story/2020-04-17/coronavirus-ticketmaster-refunds-concerts","The ticket retailer Ticketmaster is finalizing plans to issue refunds for up to 18,000 postponed events in the wake of the COVID-19 pandemic. Parent company Live Nation announced that refunds for those concerts, including stadium dates from Taylor Swift at the now-postponed opening of SoFi Stadium in Inglewood, will be open to fans requesting them starting May 1, for a 30-day period.  Ticketmaster and Live Nation faced widespread criticism for not acting faster to get a plan for refunds in place, and attracted attention from Rep. Katie Porter (D-CA) and their frequent foe Rep. Bill Pascrell (D-N.J.).  Live Nation, for its part, has also raised a $10 million support fund for crews affected by the cancellation, and top staff have taken deep salary cuts. The re-seller StubHub as also been hit with a class-action lawsuit over its handling of refunds during the pandemic."
"4","20-Jun","Hollywood Vampires have postponed their European tourÂ ""due to the COVID-19 pandemic."" The supergroup wrote, ""We will post detailed ticketing information and new replacement dates very soon! We are beyond disappointed but will see you all once we are able to safely rock again!""","P","Hollywood Vampires","Rock","No",NA,NA,NA,"Hollywood Vampires covid cancel refund","https://www.hollywoodvampires.com/",""
"5","18-Jun","Charlie Daniels' 2020 Volunteer Jam has moved from Sept. 15 at Nashville's Bridgestone Arena to Feb. 22, 2021. Â The event will includeÂ The Marshall TuckerÂ Band, Chris Janson, Charley Pride,Â Larry, Steve & Rudy- The Gatlin Brothers, Big & Rich, Gretchen Wilson,Â Cowboy Troy, Delbert McClinton,Â Keb' Mo',Â The Outlaws, Jenny Tolman, the Atlanta Rhythm Section, Travis Denning,Â Mickey Gilley, Johnny Lee,Â Scooter Brown Band, The SteelDrivers,Â Pure Prairie League, The Allman Betts Band and .38 Special among others. Â ""Volunteer Jam is alive and well and is moving from September 2020 to February Â 2021,"" says Daniels. ""The Jam turns 46 years old this year and this could be the best one yet.""","R","Charlie Daniels' 2020 Volunteer Jam","Festival","Yes",NA,NA,NA,"Charlie Daniels' 2020 Volunteer Jam covid cancel refund","https://www.bridgestonearena.com/events/detail/charlie-daniels-volunteer-jam",""
"6","9-Jun","Nick Cave and the Bad Seeds have canceled their North American tour due to the pandemic, and hope to reschedule for 2021. Details will be announced in the fall.","C","Nick Cave and the Bad Seeds","Rock","Yes",NA,NA,NA,"Nick Cave and the Bad Seeds covid cancel refund","https://www.staplescenter.com/events/detail/nickcavebadseeds20","If you purchased your tickets via AXS online or by phone, a refund will automatically be issued to the credit card you used to purchase within 30 business days."
"7","9-Jun","Lollapalooza 2020 is officially off after the city of Chicago nixed all large, permitted gatherings through Labor Day. ""Rest assured, we will be working hard behind the scenes to deliver Chicago a spectacular celebration of Lollapalooza's 30th anniversary in the summer of 2021, and we can't wait to celebrate with you,"" the festival said in a statement. Instead of a live music festival, there will be a virtual livestream event the weekend of July 30:Aug. 2, with the full schedule to come.","C","Lollapalooza","Festival","Yes",NA,NA,NA,"Lollapalooza covid cancel refund","https://www.usatoday.com/story/entertainment/music/2020/06/09/lollapalooza-2020-canceled-due-coronavirus-pandemic/5327432002/","Lollapalooza organizers don't have to worry about issuing refunds – a major issue for the live music industry amid the pandemic – because they postponed putting tickets on sale in March, when the coronavirus pandemic effectively shut down the live music events."
"8","8-Jun","The Smashing Pumpkins have canceled their Rock Invasion 2 Tour. ""It is with heavy hearts that we must announce The Smashing Pumpkins Rock Invasion 2 tour will no longer be taking place,"" the band said in a statement. ""Though this decision did not come easily, it is our top priority to maintain the safety and health of our fans, crew, and venue staff. Tickets will automatically be refunded at point of purchase. Thank you for understanding.""","C","The Smashing Pumpkins","Rock","Yes",NA,NA,NA,"The Smashing Pumpkins covid cancel refund","https://www.transportation.gov/briefing-room/us-department-transportation-issues-enforcement-notice-clarifying-air-carrier-refund","WASHINGTON – The U.S. Department of Transportation today issued an Enforcement Notice clarifying, in the context of the 2019 Novel Coronavirus (COVID-19) public health emergency, that U.S. and foreign airlines remain obligated to provide a prompt refund to passengers for flights to, within, or from the United States when the carrier cancels the passenger’s scheduled flight or makes a significant schedule change and the passenger chooses not to accept the alternative offered by the carrier.  The obligation of airlines to provide refunds, including the ticket price and any optional fee charged for services a passenger is unable to use, does not cease when the flight disruptions are outside of the carrier’s control (e.g., a result of government restrictions). The Department is receiving an increasing number of complaints and inquiries from ticketed passengers, including many with non-refundable tickets, who describe having been denied refunds for flights that were canceled or significantly delayed.  In many of these cases, the passengers stated that the carrier informed them that they would receive vouchers or credits for future travel. Because the COVID-19 public health emergency has had an unprecedented impact on air travel, DOT’s Aviation Enforcement Office will exercise its enforcement discretion and provide carriers with an opportunity to become compliant before taking further action.  However, the Aviation Enforcement Office will monitor airlines’ refund policies and practices and take enforcement action as necessary.  The notice can be found here: https://www.transportation.gov/briefing-room/enforcement-notice-regarding-refunds-carriers-given-unprecedented-impact-covid-19."
"9","4-Jun","Austin's Levitation music festival has been canceled. ""The Covid-19 crisis has made it impossible to deliver the lineup and experience that we had planned for 2020. More than anything we wanted to find a way through this and have another weekend of great shows with you- but we'll have to wait until 2021 for that,"" organizers said in a release. ""All ticket purchases have been refunded, and should process in the next 7-10 business days. Look out for dates and details for LEVITATION 2021. Thank you for your support, we look forward to seeing you then!""","C","Levitation music festival","Festival","Yes",NA,NA,NA,"Levitation music festival covid cancel refund","https://www.jambase.com/article/levitate-festival-postponed-canceled-coronavirus","We ask for your support and for you to please hold on to your tickets as they all remain valid for the new dates of July 9-11 2021 and tickets will remain on sale. That being said, if you find yourself unable to hold onto your tickets and need a refund, please reach out by responding directly to the email all ticket holders will receive today with this same announcement. All of our staff are at home working in Marshfield and surrounding towns and will promptly answer any questions you may have by email. Thank You all for your support in this decision, as we feel it is truly the right thing to do so that we can enjoy this event in a responsible way when the time is right! Please be safe, be strong, and support local businesses and front line workers."
"10","4-Jun","Summerfest 2020 has been canceled.Â Don Smiley, president & CEO of Milwaukee World Festival, Inc., said in a statement: ""After careful, diligent, and thoughtful consideration and out of an abundance of caution for the health and safety of our community: including artists, fans, vendors, participants and staff: Summerfest presented by American Family Insurance will not take place in September 2020, as previously announced."" Get refund info here.","C","Summerfest 2020","Festival","Yes",NA,NA,NA,"Summerfest 2020 covid cancel refund","https://www.summerfest.com/show-status/","Thank you for your patience as we reschedule concerts. All ticketholders are encouraged to hang on to their tickets for concerts as they get rescheduled. Please see the below refund policy. Postponed - Artist has announced that their tour is postponed and Summerfest is waiting for them to give a new date. Pending - Summerfest is waiting for the artist to tell us when their Summerfest performance will be in the future. These shows will not happen on their originally scheduled dates in June/July 2020. The dates will be updated when received by artist management.Canceled - This performance is no longer. Please see the below refund policy. Rescheduled - Artist has rescheduled their show and tickets are on sale for the new show date. Ticketholders are encouraged to hang on to their tickets. If not possible, please see refund policy below. For each canceled, postponed and rescheduled show, Ticketmaster will contact each ticket purchaser to advise them on how to secure a refund. Be sure to follow the @Summerfest social channels for the most up-to-date information. Refunds will be available from the original point of purchase for 30 days from the announcement of the rescheduled date. Ticket purchasers will receive a Ticketmaster email advising them that refunds will be available for a 30-day window, with instructions on how to secure their refund. You can also check your order status in your Ticketmaster account. All tickets for canceled shows purchased on Ticketmaster.com and at the Box Office are automatically refunded to the original method of payment (with the exception of cash sales). The cost of expedited shipping and merchandise will not be refunded. If you purchased tickets at the Box office with cash you will need to return to the box office with the tickets for your refund."
