"date","text"
"July 1","Austin City Limits has been canceled. Festival organizers said in a statement that scrapping the three-day October event was “the only responsible solution.” The announcement comes amid a surge in COVID-19 cases in Texas, with the state reporting another daily high Tuesday of 7,000 new confirmed cases and Republican Gov. Greg Abbott urging people to stay home. See the full statement here."
"June 26","Lady Gaga has announced that the Chromatica Ball is no longer taking place in Summer 2020. See the new dates here."
"June 21","Imagine Dragons have postponed their performance at Kultureball 2020. ""Due to current times, KultureCity and Imagine dragons have decided to postpone our performance at Kultureball to Kultureball 2021 on March 20th, 2021,"" the band tweeted. ""Location to be announced soon. Thanks to all our supporters. We look forward to seeing you all soon."""
"June 20","Hollywood Vampires have postponed their European tour ""due to the COVID-19 pandemic."" The supergroup wrote, ""We will post detailed ticketing information and new replacement dates very soon! We are beyond disappointed but will see you all once we are able to safely rock again!"""
"June 18","Charlie Daniels' 2020 Volunteer Jam has moved from Sept. 15 at Nashville's Bridgestone Arena to Feb. 22, 2021.  The event will include The Marshall Tucker Band, Chris Janson, Charley Pride, Larry, Steve & Rudy- The Gatlin Brothers, Big & Rich, Gretchen Wilson, Cowboy Troy, Delbert McClinton, Keb' Mo', The Outlaws, Jenny Tolman, the Atlanta Rhythm Section, Travis Denning, Mickey Gilley, Johnny Lee, Scooter Brown Band, The SteelDrivers, Pure Prairie League, The Allman Betts Band and .38 Special among others.  ""Volunteer Jam is alive and well and is moving from September 2020 to February  2021,"" says Daniels. ""The Jam turns 46 years old this year and this could be the best one yet."""
"June 9","Nick Cave and the Bad Seeds have canceled their North American tour due to the pandemic, and hope to reschedule for 2021. Details will be announced in the fall."
"June 9","Lollapalooza 2020 is officially off after the city of Chicago nixed all large, permitted gatherings through Labor Day. ""Rest assured, we will be working hard behind the scenes to deliver Chicago a spectacular celebration of Lollapalooza's 30th anniversary in the summer of 2021, and we can't wait to celebrate with you,"" the festival said in a statement. Instead of a live music festival, there will be a virtual livestream event the weekend of July 30:Aug. 2, with the full schedule to come."
"June 8","The Smashing Pumpkins have canceled their Rock Invasion 2 Tour. ""It is with heavy hearts that we must announce The Smashing Pumpkins Rock Invasion 2 tour will no longer be taking place,"" the band said in a statement. ""Though this decision did not come easily, it is our top priority to maintain the safety and health of our fans, crew, and venue staff. Tickets will automatically be refunded at point of purchase. Thank you for understanding."""
"June 4","Austin's Levitation music festival has been canceled. ""The Covid-19 crisis has made it impossible to deliver the lineup and experience that we had planned for 2020. More than anything we wanted to find a way through this and have another weekend of great shows with you- but we'll have to wait until 2021 for that,"" organizers said in a release. ""All ticket purchases have been refunded, and should process in the next 7-10 business days. Look out for dates and details for LEVITATION 2021. Thank you for your support, we look forward to seeing you then!"""
"June 4","Summerfest 2020 has been canceled. Don Smiley, president & CEO of Milwaukee World Festival, Inc., said in a statement: ""After careful, diligent, and thoughtful consideration and out of an abundance of caution for the health and safety of our community: including artists, fans, vendors, participants and staff: Summerfest presented by American Family Insurance will not take place in September 2020, as previously announced."" Get refund info here."
"June 1","Motley Crue, Def Leppard, Poison and Joan Jett announced that their summer stadium tour of North America is postponed until next summer, with rescheduled dates to come. Tickets will be honored at rescheduled shows; refund information is not yet available."
"May 29","The Faith No More and Korn joint tour, which was set to kick off in August, has been canceled ""out of an abundance of caution for the safety of our fans, crew, and fellow artists."" Faith No More said that ticketholders will be emailed about refund options."
"May 27","Rammstein announced their 2020 North American tour will be rescheduled to 2021. ""Sadly, but in the best interests of everyone’s health and safety, we have to postpone our North America Tour. We are now working on rescheduling the tour in 2021,"" the group tweeted."
"May 24","Josh Groban postponed his Radio City Music Hall residency shows until 2021. See the new dates here."
"May 20","Beck has canceled his 2020 European tour. ""Due to continued restrictions on public gatherings, and in the interest of public safety, the below Beck shows will not be happening as scheduled,"" his official Twitter account shared. ""We’re working to reschedule as many of these shows as soon as it is safe to do so and will keep you updated along the way. Please refer to point of purchase for ticketing/refund information. Beck is very sorry about this situation and is looking forward to getting back on stage as soon as possible."""
"May 19","James Taylor and Jackson Browne announced their 2020 tour dates are officially moving to 2021. ""We were hoping to reschedule the tour a bit sooner but the experts we consulted have advised waiting for a full year. We thank you all for your patience and understanding and are really encouraged by the majority of you who are holding onto your tickets. We WILL honor them,"" the duo said in a statement."
"May 18","England's Ramblin' Man Fair 2020 has been canceled. The event originally slated to take place at Mote Park in Maidstone, Kent, on July 17-19 with sets from Lynyrd Skynyrd, Hawkwind, Clutch, Rival Sons and more was forced to call this year's gathering off because the UK is not permitting mass gatherings."
"May 15","NCT 127 have cancelled their 2020 North American tour. ""NCTzens! I’m very sad to say that because of the current situation we will be having to cancel the North American tour,"" the band's Johnny tweeted. ""We know that you guys were looking forward to the new tour as much as us. We’ll make sure to keep you guys smiling one way or another, and make sure that the next time we tour it’ll be the most magical. Thank you guys always, stay safe, stay healthy. We love you."""
